,k,network_n,search_n,jumps
1123,4,1,23,3
1124,4,1,24,2
1125,4,1,25,2
1126,4,1,26,2
1127,4,1,27,3
1128,4,1,28,3
1129,4,1,29,3
1130,4,1,30,2
1131,4,1,31,2
1132,4,1,32,2
1133,4,1,33,0
1134,4,1,34,2
1135,4,1,35,2
1136,4,1,36,3
1137,4,1,37,1
1138,4,1,38,2
1139,4,1,39,2
1140,4,1,40,2
1141,4,1,41,1
1142,4,1,42,2
1143,4,1,43,2
1144,4,1,44,0
1145,4,1,45,3
1146,4,1,46,1
1147,4,1,47,0
1148,4,1,48,2
1149,4,1,49,3
1150,4,1,50,0
1151,4,1,51,0
1152,4,1,52,1
1153,4,1,53,3
1154,4,1,54,1
1155,4,1,55,3
1156,4,1,56,2
1157,4,1,57,2
1158,4,1,58,2
1159,4,1,59,1
1160,4,1,60,2
1161,4,1,61,1
1162,4,1,62,3
1163,4,1,63,3
1164,4,1,64,1
1165,4,1,65,2
1166,4,1,66,3
1167,4,1,67,2
1168,4,1,68,3
1169,4,1,69,2
1170,4,1,70,0
1171,4,1,71,0
1172,4,1,72,2
1173,4,1,73,3
1174,4,1,74,1
1175,4,1,75,1
1176,4,1,76,3
1177,4,1,77,2
1178,4,1,78,0
1179,4,1,79,2
1180,4,1,80,1
1181,4,1,81,0
1182,4,1,82,0
1183,4,1,83,1
1184,4,1,84,2
1185,4,1,85,2
1186,4,1,86,3
1187,4,1,87,0
1188,4,1,88,2
1189,4,1,89,1
1190,4,1,90,2
1191,4,1,91,1
1192,4,1,92,2
1193,4,1,93,2
1194,4,1,94,1
1195,4,1,95,1
1196,4,1,96,2
1197,4,1,97,3
1198,4,1,98,3
1199,4,1,99,2
1200,4,2,0,1
1201,4,2,1,2
1202,4,2,2,1
1203,4,2,3,3
1204,4,2,4,3
1205,4,2,5,0
1206,4,2,6,1
1207,4,2,7,0
1208,4,2,8,2
1209,4,2,9,0
1210,4,2,10,2
1211,4,2,11,2
1212,4,2,12,2
1213,4,2,13,3
1214,4,2,14,3
1215,4,2,15,2
1216,4,2,16,2
1217,4,2,17,0
1218,4,2,18,2
1219,4,2,19,1
1220,4,2,20,2
1221,4,2,21,3
1222,4,2,22,2
1223,4,2,23,2
1224,4,2,24,2
1225,4,2,25,1
1226,4,2,26,0
1227,4,2,27,2
1228,4,2,28,3
1229,4,2,29,2
1230,4,2,30,2
1231,4,2,31,1
1232,4,2,32,2
1233,4,2,33,3
1234,4,2,34,0
1235,4,2,35,1
1236,4,2,36,0
1237,4,2,37,2
1238,4,2,38,1
1239,4,2,39,3
1240,4,2,40,1
1241,4,2,41,3
1242,4,2,42,2
1243,4,2,43,2
1244,4,2,44,1
1245,4,2,45,0
1246,4,2,46,2
1247,4,2,47,2
1248,4,2,48,2
1249,4,2,49,1
1250,4,2,50,0
1251,4,2,51,3
1252,4,2,52,2
1253,4,2,53,1
1254,4,2,54,0
1255,4,2,55,3
1256,4,2,56,3
1257,4,2,57,2
1258,4,2,58,2
1259,4,2,59,2
1260,4,2,60,2
1261,4,2,61,1
