,k,network_n,search_n,jumps
1252,4,2,52,4
1253,4,2,53,3
1254,4,2,54,2
1255,4,2,55,2
1256,4,2,56,3
1257,4,2,57,3
1258,4,2,58,2
1259,4,2,59,2
1260,4,2,60,3
1261,4,2,61,0
1262,4,2,62,4
1263,4,2,63,2
1264,4,2,64,3
1265,4,2,65,3
1266,4,2,66,3
1267,4,2,67,1
1268,4,2,68,2
1269,4,2,69,2
1270,4,2,70,4
1271,4,2,71,2
1272,4,2,72,4
1273,4,2,73,4
1274,4,2,74,3
1275,4,2,75,4
1276,4,2,76,4
1277,4,2,77,2
1278,4,2,78,1
1279,4,2,79,2
1280,4,2,80,4
1281,4,2,81,1
1282,4,2,82,4
1283,4,2,83,3
1284,4,2,84,3
1285,4,2,85,0
1286,4,2,86,3
1287,4,2,87,4
1288,4,2,88,3
1289,4,2,89,3
1290,4,2,90,0
1291,4,2,91,2
1292,4,2,92,3
1293,4,2,93,3
1294,4,2,94,4
1295,4,2,95,3
1296,4,2,96,3
1297,4,2,97,4
1298,4,2,98,2
1299,4,2,99,0
1300,4,3,0,3
1301,4,3,1,3
1302,4,3,2,4
1303,4,3,3,4
1304,4,3,4,3
1305,4,3,5,3
1306,4,3,6,1
1307,4,3,7,3
1308,4,3,8,1
1309,4,3,9,4
1310,4,3,10,3
1311,4,3,11,0
1312,4,3,12,4
1313,4,3,13,3
1314,4,3,14,4
1315,4,3,15,3
1316,4,3,16,0
1317,4,3,17,3
1318,4,3,18,4
1319,4,3,19,3
1320,4,3,20,3
1321,4,3,21,3
1322,4,3,22,3
1323,4,3,23,2
1324,4,3,24,3
1325,4,3,25,4
1326,4,3,26,3
1327,4,3,27,4
1328,4,3,28,3
1329,4,3,29,2
1330,4,3,30,4
1331,4,3,31,2
1332,4,3,32,2
1333,4,3,33,2
1334,4,3,34,4
1335,4,3,35,3
1336,4,3,36,3
1337,4,3,37,4
1338,4,3,38,2
1339,4,3,39,3
1340,4,3,40,3
1341,4,3,41,3
1342,4,3,42,4
1343,4,3,43,3
1344,4,3,44,4
1345,4,3,45,2
1346,4,3,46,3
1347,4,3,47,2
1348,4,3,48,4
1349,4,3,49,3
1350,4,3,50,4
1351,4,3,51,4
1352,4,3,52,4
1353,4,3,53,3
1354,4,3,54,0
1355,4,3,55,2
